3.036369048743981719e+08 -4.540743340486285090e+08 -2.915143824918516874e+08 -2.509421052469792102e+01 -2.881493506798587418e+02 2.805214897063919466e+01 5.437099999999999745e+24 3.101124409104703972e+01 9.056703204104427338e+09
3.942967391519497037e+08 -5.746302206584411860e+08 -1.937802124778268039e+08 -3.994582419948725516e+01 -1.779481941030805672e+02 1.777272171241131389e+02 5.437099999999999745e+24 3.002942651740094959e+01 9.364424669998016357e+09
4.249677741697613597e+08 -3.126038790670944452e+08 -9.487375855234391987e+07 7.150081428563885311e+01 -4.628749248821161189e+01 -2.056683971074733677e+02 5.640799999999999774e+24 3.182171827856977941e+01 8.015038419721785545e+09
4.431130096089516878e+08 -3.910613824609444141e+08 -1.745900046163232252e+07 6.535997190416297542e+01 5.868839099183500707e+01 -9.778481585099673623e+01 5.640799999999999774e+24 3.154102365370838612e+01 7.812272439132205009e+09
1.510945789927257299e+08 -5.259129331818678975e+08 -1.542690763013730645e+08 -1.388411393544592443e+01 -4.121648628472959786e+01 1.698101904115000877e+02 5.640799999999999774e+24 3.232885409626717177e+01 8.491785426718771935e+09
1.548675377091968954e+08 -3.910866698450092673e+08 2.700020062614914030e+06 7.043982791359455575e+01 1.825762421312116999e+02 -2.446099620771329342e+01 5.640799999999999774e+24 3.162718230534040487e+01 7.589911972780757904e+09
1.645121225103259683e+08 -3.032754075696878433e+08 -1.570516778022014201e+08 5.877539722694648816e+01 -4.958758824217292727e+01 -1.528020071315435757e+02 5.640799999999999774e+24 3.180295986292458821e+01 8.528856364214097023e+09
4.458812933929185867e+08 -3.471411879436019063e+08 -2.100279244528937936e+08 3.082020492637119702e+01 -2.182227616113667921e+02 -1.614833557768717185e+02 5.640799999999999774e+24 3.134144107744037910e+01 8.503287469425867081e+09
4.436838065961095095e+08 -4.154149043728197813e+08 -1.918571239628254473e+08 1.307385017675931671e+01 -1.914681372160380306e+02 -6.307535241688357530e+01 5.640799999999999774e+24 3.200878176197245040e+01 7.808248177380902290e+09
4.168614155527638197e+08 -5.229497677414606810e+08 -1.537090668028640747e+08 -1.267991984095747604e+01 -1.279525928174984415e+02 9.790859901936538279e+01 5.640799999999999774e+24 3.226934572517374988e+01 7.963310157083909035e+09
1.853931198468264937e+08 -2.762787168109623790e+08 -6.041989055176518857e+07 9.224439498923688063e+01 8.202051459835178093e+01 -1.968164484183884895e+02 5.640799999999999774e+24 3.145627307144311757e+01 8.317978439041391373e+09
3.921976894541308284e+08 -5.112607602230584621e+08 -2.158601563470099866e+08 -2.471079946548822548e+01 -2.088924668490716101e+02 8.742895194798117586e+01 5.640799999999999774e+24 3.341074958507213211e+01 8.659015379336454391e+09
2.413394132268648148e+08 -4.708698501601553559e+08 -2.784367210919088721e+08 -2.728868440335297763e+01 -2.489212553369560794e+02 6.783463237544114577e+01 5.640799999999999774e+24 3.236501293282718450e+01 8.487614652479459763e+09
1.001482721054799557e+08 -4.146995382185148597e+08 -1.690866375631767213e+08 1.905063310545586930e+01 -4.564215101130376695e+01 2.328424433139457150e+01 5.640799999999999774e+24 3.141637485092002180e+01 8.415874888334202766e+09
3.077916016213304400e+08 -6.002842932063182592e+08 -1.106082760886695236e+08 -2.724491391919916339e+01 -3.023799105370796880e+01 2.364576392181321864e+02 5.640799999999999774e+24 3.179143574076418943e+01 7.823227202921521187e+09
3.251911704469030499e+08 -5.867016174820175171e+08 -1.781705570170225501e+08 -3.998536542600209742e+01 -1.328005219562377874e+02 2.125812671967426866e+02 5.640799999999999774e+24 3.180282535174531233e+01 9.352331144565008163e+09
